,SName,DName,CName,Enroll12,NumTstTakr,AvgScrRead,AvgScrEng,AvgScrMath,AvgScrSci,NumGE21,PctGE21,Year,Unnamed: 17
566,Family First Charter,Centinela Valley Union High,Los Angeles,92.0,1.0,,,,,*,*,2018-19,
567,Family Partnership Charter,Blochman Union Elementary,Santa Barbara,47.0,2.0,,,,,*,*,2018-19,
568,Farmersville High,Farmersville Unified,Tulare,170.0,46.0,18.0,16.0,17.0,17.0,8,17.39,2018-19,
569,Felicitas and Gonzalo Mendez High,Los Angeles Unified,Los Angeles,247.0,13.0,,,,,*,*,2018-19,
570,Ferndale High,Ferndale Unified,Humboldt,34.0,2.0,,,,,*,*,2018-19,
571,Fillmore Senior High,Fillmore Unified,Ventura,250.0,29.0,24.0,23.0,23.0,23.0,19,65.52,2018-19,
572,Firebaugh High,Firebaugh-Las Deltas Unified,Fresno,167.0,31.0,16.0,15.0,16.0,17.0,3,9.68,2018-19,
573,Five Keys Independence HS (SF Sheriff's),San Francisco Unified,San Francisco,63.0,0.0,,,,,,,2018-19,
574,Florin High,Elk Grove Unified,Sacramento,322.0,94.0,19.0,18.0,20.0,19.0,30,31.91,2018-19,
575,Folsom High,Folsom-Cordova Unified,Sacramento,552.0,127.0,27.0,27.0,27.0,26.0,110,86.61,2018-19,
576,Fontana A. B. Miller High,Fontana Unified,San Bernardino,507.0,447.0,16.0,14.0,17.0,16.0,53,11.86,2018-19,
577,Fontana High,Fontana Unified,San Bernardino,538.0,496.0,15.0,13.0,16.0,16.0,42,8.47,2018-19,
578,Foothill High,Pleasanton Unified,Alameda,498.0,196.0,28.0,28.0,28.0,27.0,176,89.80,2018-19,
579,Foothill High,Kern High,Kern,471.0,15.0,20.0,18.0,21.0,19.0,6,40.00,2018-19,
580,Foothill High,Shasta Union High,Shasta,317.0,29.0,26.0,23.0,23.0,23.0,22,75.86,2018-19,
581,Foothill High,Tustin Unified,Orange,542.0,155.0,26.0,26.0,25.0,24.0,127,81.94,2018-19,
582,Foothill High,Twin Rivers Unified,Sacramento,251.0,10.0,,,,,*,*,2018-19,
583,Foothill Technology High,Ventura Unified,Ventura,222.0,61.0,24.0,23.0,22.0,23.0,34,55.74,2018-19,
584,Foothills High,San Marcos Unified,San Diego,84.0,0.0,,,,,,,2018-19,
585,Forest Charter,Nevada County Office of Education,Nevada,88.0,13.0,,,,,*,*,2018-19,
586,Foresthill High,Placer Union High,Placer,52.0,8.0,,,,,*,*,2018-19,
587,Fort Bragg High,Fort Bragg Unified,Mendocino,107.0,24.0,25.0,24.0,22.0,23.0,17,70.83,2018-19,
588,Fortuna Union High,Fortuna Union High,Humboldt,183.0,18.0,23.0,21.0,22.0,22.0,9,50.00,2018-19,
589,Foshay Learning Center,Los Angeles Unified,Los Angeles,166.0,56.0,19.0,18.0,19.0,18.0,19,33.93,2018-19,
590,Fountain Valley High,Huntington Beach Union High,Orange,805.0,102.0,27.0,26.0,26.0,26.0,87,85.29,2018-19,
591,Fowler High,Fowler Unified,Fresno,203.0,10.0,,,,,*,*,2018-19,
592,Francisco Bravo Medical Magnet High,Los Angeles Unified,Los Angeles,403.0,101.0,21.0,20.0,21.0,20.0,55,54.46,2018-19,
593,Franklin High,Stockton Unified,San Joaquin,449.0,57.0,20.0,19.0,20.0,20.0,21,36.84,2018-19,
594,Franklin High,Elk Grove Unified,Sacramento,595.0,69.0,26.0,25.0,25.0,23.0,57,82.61,2018-19,
595,Frazier Mountain High,El Tejon Unified,Kern,61.0,0.0,,,,,,,2018-19,
596,Fred C. Beyer High,Modesto City High,Stanislaus,397.0,63.0,25.0,25.0,24.0,24.0,47,74.60,2018-19,
597,Freedom High,Liberty Union High,Contra Costa,649.0,89.0,22.0,21.0,20.0,21.0,40,44.94,2018-19,
598,Fremont Academy of Engineering and Design,Pomona Unified,Los Angeles,90.0,19.0,19.0,17.0,18.0,18.0,6,31.58,2018-19,
599,Fremont High,Oakland Unified,Alameda,154.0,26.0,14.0,14.0,15.0,14.0,2,7.69,2018-19,
600,Fremont High,Fremont Union High,Santa Clara,508.0,82.0,27.0,27.0,27.0,26.0,66,80.49,2018-19,
601,Fresno High,Fresno Unified,Fresno,442.0,110.0,17.0,16.0,17.0,17.0,14,12.73,2018-19,
602,Frontier High,Kern High,Kern,576.0,50.0,25.0,23.0,24.0,22.0,38,76.00,2018-19,
603,Fullerton Union High,Fullerton Joint Union High,Orange,467.0,59.0,24.0,24.0,23.0,23.0,42,71.19,2018-19,
604,Furman (Duane E.) High (Independent Study Program),Madera Unified,Madera,92.0,0.0,,,,,,,2018-19,
605,Fusion Charter,Turlock Unified,Stanislaus,31.0,0.0,,,,,,,2018-19,
606,Future Bound Independent Study Secondary,Ramona City Unified,San Diego,15.0,0.0,,,,,,,2018-19,
607,Futures High,Twin Rivers Unified,Sacramento,71.0,0.0,,,,,,,2018-19,
608,Gabrielino High,San Gabriel Unified,Los Angeles,433.0,69.0,28.0,28.0,26.0,26.0,62,89.86,2018-19,
609,Gahr (Richard) High,ABC Unified,Los Angeles,418.0,41.0,21.0,21.0,22.0,22.0,25,60.98,2018-19,
610,Galileo High,San Francisco Unified,San Francisco,462.0,95.0,21.0,20.0,23.0,21.0,55,57.89,2018-19,
611,Galt High,Galt Joint Union High,Sacramento,215.0,26.0,19.0,16.0,19.0,19.0,6,23.08,2018-19,
612,Ganesha High,Pomona Unified,Los Angeles,207.0,67.0,17.0,16.0,17.0,17.0,11,16.42,2018-19,
613,Garden Grove High,Garden Grove Unified,Orange,569.0,77.0,24.0,24.0,22.0,23.0,55,71.43,2018-19,
614,Gardena Senior High,Los Angeles Unified,Los Angeles,279.0,24.0,18.0,17.0,17.0,17.0,3,12.50,2018-19,
615,Garey High,Pomona Unified,Los Angeles,399.0,23.0,17.0,17.0,18.0,18.0,4,17.39,2018-19,
616,Gateway College and Career Academy,Riverside County Office of Education,Riverside,151.0,0.0,,,,,,,2018-19,
617,Gateway High,San Francisco Unified,San Francisco,112.0,39.0,21.0,20.0,19.0,19.0,16,41.03,2018-19,
618,Gateway to College Academy,Petaluma Joint Union High,Sonoma,46.0,0.0,,,,,,,2018-19,
619,Gateway to College at Laney College,Oakland Unified,Alameda,65.0,0.0,,,,,,,2018-19,
620,George Washington Carver School of Arts and Science,Sacramento City Unified,Sacramento,50.0,1.0,,,,,*,*,2018-19,
621,George Washington Preparatory High,Los Angeles Unified,Los Angeles,197.0,4.0,,,,,*,*,2018-19,
622,Geyserville New Tech Academy,Geyserville Unified,Sonoma,10.0,1.0,,,,,*,*,2018-19,
623,Gilroy High,Gilroy Unified,Santa Clara,374.0,36.0,22.0,20.0,22.0,21.0,21,58.33,2018-19,
624,Glacier High School Charter,Yosemite Unified,Madera,27.0,4.0,,,,,*,*,2018-19,
625,Gladstone High,Azusa Unified,Los Angeles,266.0,24.0,21.0,21.0,21.0,22.0,13,54.17,2018-19,
626,Glen A. Wilson High,Hacienda la Puente Unified,Los Angeles,355.0,28.0,25.0,23.0,24.0,24.0,20,71.43,2018-19,
627,Glendale High,Glendale Unified,Los Angeles,547.0,42.0,23.0,22.0,23.0,23.0,29,69.05,2018-19,
628,Glendora High,Glendora Unified,Los Angeles,591.0,79.0,25.0,23.0,24.0,23.0,66,83.54,2018-19,
629,Gold Rush Charter,Summerville Union High,Tuolumne,56.0,0.0,,,,,,,2018-19,
630,Golden Eagle Charter,Siskiyou County Office of Education,Siskiyou,50.0,1.0,,,,,*,*,2018-19,
631,Golden Sierra Junior Senior High,Black Oak Mine Unified,El Dorado,76.0,6.0,,,,,*,*,2018-19,
632,Golden Valley Charter,Mesa Union Elementary,Ventura,18.0,1.0,,,,,*,*,2018-19,
633,Golden Valley High,Kern High,Kern,580.0,22.0,21.0,18.0,19.0,20.0,8,36.36,2018-19,
634,Golden Valley High,Merced Union High,Merced,397.0,45.0,18.0,16.0,18.0,18.0,10,22.22,2018-19,
635,Golden Valley High,William S. Hart Union High,Los Angeles,479.0,53.0,25.0,23.0,21.0,23.0,37,69.81,2018-19,
636,Golden West High,Visalia Unified,Tulare,383.0,38.0,21.0,19.0,20.0,21.0,17,44.74,2018-19,
637,Gompers Preparatory Academy,San Diego Unified,San Diego,125.0,114.0,16.0,15.0,17.0,16.0,12,10.53,2018-19,
638,Gonzales High,Gonzales Unified,Monterey,182.0,63.0,17.0,17.0,17.0,17.0,11,17.46,2018-19,
639,Goodwill Independent Study,Victor Valley Union High,San Bernardino,50.0,0.0,,,,,,,2018-19,
640,Gorman Learning Center,Gorman Joint,Los Angeles,113.0,10.0,,,,,*,*,2018-19,
641,Gorman Learning Center San Bernardino/Santa Clarita,Lucerne Valley Unified,San Bernardino,122.0,0.0,,,,,,,2018-19,
642,Grace M. Davis High,Modesto City High,Stanislaus,452.0,11.0,,,,,*,*,2018-19,
643,Granada High,Livermore Valley Joint Unified,Alameda,567.0,147.0,27.0,26.0,26.0,25.0,118,80.27,2018-19,
644,Granada Hills Charter High,Los Angeles Unified,Los Angeles,1120.0,204.0,25.0,25.0,24.0,24.0,154,75.49,2018-19,
645,Grand Terrace High School at the Ray Abril Jr. Educational Complex,Colton Joint Unified,San Bernardino,503.0,38.0,21.0,21.0,20.0,21.0,21,55.26,2018-19,
646,Granite Bay High,Roseville Joint Union High,Placer,513.0,201.0,26.0,26.0,26.0,25.0,175,87.06,2018-19,
647,Granite Hills High,Apple Valley Unified,San Bernardino,371.0,14.0,,,,,*,*,2018-19,
648,Granite Hills High,Grossmont Union High,San Diego,557.0,97.0,22.0,20.0,22.0,21.0,55,56.70,2018-19,
649,Granite Hills High,Porterville Unified,Tulare,302.0,41.0,17.0,16.0,17.0,18.0,5,12.20,2018-19,
650,Grant Union High,Twin Rivers Unified,Sacramento,394.0,49.0,20.0,18.0,18.0,18.0,17,34.69,2018-19,
651,Great Oak High,Temecula Valley Unified,Riverside,756.0,214.0,24.0,24.0,23.0,23.0,157,73.36,2018-19,
652,Greenfield High,South Monterey County Joint Union High,Monterey,268.0,53.0,17.0,15.0,16.0,16.0,5,9.43,2018-19,
653,Gridley High,Gridley Unified,Butte,158.0,15.0,22.0,22.0,24.0,22.0,9,60.00,2018-19,
654,Grizzly ChalleNGe Charter,San Luis Obispo County Office of Education,San Luis Obispo,141.0,0.0,,,,,,,2018-19,
655,Grossmont High,Grossmont Union High,San Diego,539.0,87.0,23.0,22.0,23.0,22.0,51,58.62,2018-19,
656,Grossmont Middle College High,Grossmont Union High,San Diego,35.0,12.0,,,,,*,*,2018-19,
657,Grossmont Secondary,SBE - Grossmont Secondary,San Diego,113.0,0.0,,,,,,,2018-19,
658,Grove,Redlands Unified,San Bernardino,31.0,3.0,,,,,*,*,2018-19,
659,Grover Cleveland Charter High,Los Angeles Unified,Los Angeles,651.0,110.0,26.0,26.0,24.0,24.0,88,80.00,2018-19,
660,Guajome Learning Center,Vista Unified,San Diego,16.0,0.0,,,,,,,2018-19,
661,Guajome Park Academy Charter,Vista Unified,San Diego,103.0,16.0,27.0,26.0,26.0,26.0,14,87.50,2018-19,
662,Gunderson High,San Jose Unified,Santa Clara,246.0,17.0,24.0,22.0,23.0,22.0,11,64.71,2018-19,
663,Gustine High,Gustine Unified,Merced,140.0,28.0,20.0,19.0,17.0,19.0,8,28.57,2018-19,
664,Half Moon Bay High,Cabrillo Unified,San Mateo,223.0,65.0,27.0,26.0,25.0,25.0,50,76.92,2018-19,
665,Hallmark Charter,Sanger Unified,Fresno,40.0,1.0,,,,,*,*,2018-19,
666,Hamilton High,Hamilton Unified,Glenn,86.0,30.0,18.0,18.0,18.0,19.0,7,23.33,2018-19,
667,Hamilton High,Hemet Unified,Riverside,54.0,3.0,,,,,*,*,2018-19,
668,Hanford High,Hanford Joint Union High,Kings,335.0,18.0,21.0,21.0,20.0,21.0,9,50.00,2018-19,
669,Hanford West High,Hanford Joint Union High,Kings,301.0,17.0,21.0,20.0,19.0,20.0,9,52.94,2018-19,
670,Happy Camp High,Siskiyou Union High,Siskiyou,22.0,13.0,,,,,*,*,2018-19,
671,Harbor High,Santa Cruz City High,Santa Cruz,179.0,45.0,20.0,19.0,21.0,20.0,17,37.78,2018-19,
672,Harmony Magnet Academy,Porterville Unified,Tulare,109.0,38.0,22.0,21.0,22.0,22.0,21,55.26,2018-19,
673,Harold McAlister High (Opportunity),Los Angeles Unified,Los Angeles,43.0,0.0,,,,,,,2018-19,
674,Hart-Ransom Academic Charter,Hart-Ransom Union Elementary,Stanislaus,18.0,6.0,,,,,*,*,2018-19,
675,Hawthorne High,Centinela Valley Union High,Los Angeles,498.0,124.0,18.0,17.0,17.0,17.0,20,16.13,2018-19,
676,Hawthorne Math and Science Academy,Hawthorne,Los Angeles,112.0,112.0,20.0,20.0,21.0,19.0,49,43.75,2018-19,
677,Hayward High,Hayward Unified,Alameda,355.0,37.0,21.0,20.0,20.0,20.0,21,56.76,2018-19,
678,Healdsburg High,Healdsburg Unified,Sonoma,139.0,36.0,24.0,25.0,22.0,22.0,29,80.56,2018-19,
679,Health Careers Academy,Stockton Unified,San Joaquin,96.0,41.0,18.0,17.0,18.0,18.0,11,26.83,2018-19,
680,Health Sciences High,San Diego Unified,San Diego,141.0,1.0,,,,,*,*,2018-19,
681,Hearthstone School,Butte County Office of Education,Butte,47.0,0.0,,,,,,,2018-19,
682,Heartland Charter,Maricopa Unified,Kern,50.0,0.0,,,,,,,2018-19,
683,Hector G. Godinez,Santa Ana Unified,Orange,627.0,72.0,21.0,18.0,20.0,20.0,33,45.83,2018-19,
684,Helen Bernstein High,Los Angeles Unified,Los Angeles,124.0,34.0,15.0,14.0,16.0,15.0,4,11.76,2018-19,
685,Helen Hunt Jackson College Prep High,Hemet Unified,Riverside,102.0,0.0,,,,,,,2018-19,
686,Helix High,Grossmont Union High,San Diego,578.0,239.0,22.0,21.0,22.0,21.0,134,56.07,2018-19,
687,Hemet High,Hemet Unified,Riverside,573.0,18.0,25.0,22.0,21.0,20.0,13,72.22,2018-19,
688,Henry High,San Diego Unified,San Diego,506.0,138.0,24.0,24.0,25.0,24.0,104,75.36,2018-19,
689,Henry J. Kaiser High,Fontana Unified,San Bernardino,516.0,467.0,16.0,14.0,16.0,16.0,63,13.49,2018-19,
690,Henry M. Gunn High,Palo Alto Unified,Santa Clara,501.0,223.0,29.0,29.0,29.0,28.0,201,90.13,2018-19,
691,Herbert Hoover High,Fresno Unified,Fresno,360.0,31.0,17.0,15.0,17.0,17.0,4,12.90,2018-19,
692,Herbert Hoover High,Glendale Unified,Los Angeles,351.0,11.0,,,,,*,*,2018-19,
693,Hercules High,West Contra Costa Unified,Contra Costa,219.0,20.0,23.0,25.0,22.0,23.0,13,65.00,2018-19,
694,Heritage High,Perris Union High,Riverside,610.0,150.0,19.0,18.0,18.0,19.0,44,29.33,2018-19,
695,Heritage High,Liberty Union High,Contra Costa,574.0,112.0,26.0,25.0,24.0,25.0,87,77.68,2018-19,
696,Heritage Peak Charter,Twin Rivers Unified,Sacramento,107.0,0.0,,,,,,,2018-19,
697,Herlong High,Fort Sage Unified,Lassen,15.0,0.0,,,,,,,2018-19,
698,Hesperia High,Hesperia Unified,San Bernardino,445.0,40.0,20.0,18.0,18.0,18.0,9,22.50,2018-19,
699,High Desert Premier Academy,Apple Valley Unified,San Bernardino,64.0,0.0,,,,,,,2018-19,
700,High Tech High,San Diego Unified,San Diego,126.0,25.0,25.0,23.0,22.0,23.0,15,60.00,2018-19,
701,High Tech High Chula Vista,SBC - High Tech High,San Diego,147.0,16.0,22.0,19.0,19.0,19.0,6,37.50,2018-19,
702,High Tech High International,San Diego Unified,San Diego,98.0,22.0,22.0,21.0,20.0,19.0,10,45.45,2018-19,
703,High Tech High Media Arts,San Diego Unified,San Diego,90.0,38.0,21.0,21.0,19.0,20.0,19,50.00,2018-19,
704,High Tech High North County,SBC - High Tech High,San Diego,95.0,24.0,23.0,22.0,20.0,22.0,13,54.17,2018-19,
705,High Tech LA,Los Angeles Unified,Los Angeles,90.0,15.0,20.0,21.0,21.0,20.0,6,40.00,2018-19,
706,Highland High,Kern High,Kern,477.0,22.0,22.0,19.0,20.0,20.0,10,45.45,2018-19,
707,Highland High,Antelope Valley Union High,Los Angeles,691.0,25.0,22.0,21.0,19.0,20.0,12,48.00,2018-19,
708,Highlands Community Charter,Twin Rivers Unified,Sacramento,325.0,0.0,,,,,,,2018-19,
709,Highlands High,Twin Rivers Unified,Sacramento,143.0,3.0,,,,,*,*,2018-19,
710,Hilda L. Solis Learning Academy School of Technology Business and Education,Los Angeles Unified,Los Angeles,67.0,20.0,17.0,16.0,18.0,18.0,2,10.00,2018-19,
711,Hillcrest High,Alvord Unified,Riverside,391.0,17.0,22.0,22.0,22.0,21.0,11,64.71,2018-19,
712,Hillsdale High,San Mateo Union High,San Mateo,356.0,65.0,26.0,25.0,25.0,25.0,55,84.62,2018-19,
713,Hilltop Senior High,Sweetwater Union High,San Diego,599.0,73.0,21.0,20.0,20.0,21.0,36,49.32,2018-19,
714,Hilmar High,Hilmar Unified,Merced,154.0,26.0,22.0,20.0,20.0,20.0,11,42.31,2018-19,
715,Hiram W. Johnson High,Sacramento City Unified,Sacramento,364.0,28.0,15.0,15.0,18.0,17.0,1,3.57,2018-19,
716,Hollywood Senior High,Los Angeles Unified,Los Angeles,334.0,48.0,20.0,20.0,19.0,20.0,21,43.75,2018-19,
717,Holtville High,Holtville Unified,Imperial,138.0,29.0,20.0,18.0,20.0,19.0,9,31.03,2018-19,
718,Homestead High,Fremont Union High,Santa Clara,605.0,197.0,30.0,30.0,30.0,29.0,185,93.91,2018-19,
719,HomeTech Charter,Paradise Unified,Butte,25.0,0.0,,,,,,,2018-19,
720,Hoopa Valley High,Klamath-Trinity Joint Unified,Humboldt,52.0,0.0,,,,,,,2018-19,
721,Hoover High,San Diego Unified,San Diego,489.0,206.0,18.0,17.0,18.0,18.0,49,23.79,2018-19,
722,Horizon,Desert Sands Unified,Riverside,41.0,1.0,,,,,*,*,2018-19,
723,Horizon Charter,Western Placer Unified,Placer,273.0,7.0,,,,,*,*,2018-19,
724,Horizons School: Independent Study,Mt. Diablo Unified,Contra Costa,54.0,1.0,,,,,*,*,2018-19,
725,Hueneme High,Oxnard Union High,Ventura,491.0,30.0,21.0,19.0,20.0,19.0,13,43.33,2018-19,
726,Hughson High,Hughson Unified,Stanislaus,150.0,12.0,,,,,*,*,2018-19,
727,Humanitas Academy of Art and Technology at Esteban E. Torres High No. 4,Los Angeles Unified,Los Angeles,79.0,0.0,,,,,,,2018-19,
728,Humanities and Arts (HARTS) Academy of Los Angeles,Los Angeles Unified,Los Angeles,105.0,8.0,,,,,*,*,2018-19,
729,Humphreys College Academy of Business Law and Education,New Jerusalem Elementary,San Joaquin,55.0,2.0,,,,,*,*,2018-19,
730,Huntington Beach High,Huntington Beach Union High,Orange,718.0,205.0,25.0,24.0,24.0,23.0,159,77.56,2018-19,
731,Huntington Park Senior High,Los Angeles Unified,Los Angeles,301.0,44.0,16.0,16.0,17.0,17.0,7,15.91,2018-19,
732,ICEF View Park Preparatory High,Los Angeles Unified,Los Angeles,120.0,21.0,18.0,17.0,16.0,16.0,3,14.29,2018-19,
733,IDEA Center,Grossmont Union High,San Diego,61.0,0.0,,,,,,,2018-19,
734,iHigh Virtual Academy,San Diego Unified,San Diego,19.0,5.0,,,,,*,*,2018-19,
735,iLEAD Hybrid,Acton-Agua Dulce Unified,Los Angeles,60.0,0.0,,,,,,,2018-19,
736,Impact Academy of Arts & Technology,Hayward Unified,Alameda,102.0,23.0,18.0,18.0,19.0,18.0,5,21.74,2018-19,
737,Imperial High,Imperial Unified,Imperial,279.0,65.0,23.0,22.0,21.0,22.0,35,53.85,2018-19,
738,Imperial Pathways Charter,Imperial County Office of Education,Imperial,148.0,0.0,,,,,,,2018-19,
739,Independence,Lodi Unified,San Joaquin,90.0,2.0,,,,,*,*,2018-19,
740,Independence Charter Academy,Helendale Elementary,San Bernardino,27.0,0.0,,,,,,,2018-19,
741,Independence High,East Side Union High,Santa Clara,683.0,86.0,21.0,20.0,21.0,21.0,40,46.51,2018-19,
742,Independence High,Paso Robles Joint Unified,San Luis Obispo,48.0,0.0,,,,,,,2018-19,
743,Independence High,San Francisco Unified,San Francisco,68.0,2.0,,,,,*,*,2018-19,
744,Independence High,Liberty Union High,Contra Costa,169.0,1.0,,,,,*,*,2018-19,
745,Independence High,Kern High,Kern,511.0,41.0,20.0,20.0,19.0,20.0,15,36.59,2018-19,
746,Independence High (Alternative),Roseville Joint Union High,Placer,90.0,2.0,,,,,*,*,2018-19,
747,Independence High (Alternative),Merced Union High,Merced,22.0,0.0,,,,,,,2018-19,
748,Independence High (Alternative),Alhambra Unified,Los Angeles,52.0,0.0,,,,,,,2018-19,
749,Independent Study Sojourner Truth,Oakland Unified,Alameda,66.0,1.0,,,,,*,*,2018-19,
750,Inderkum High,Natomas Unified,Sacramento,471.0,463.0,18.0,16.0,18.0,17.0,110,23.76,2018-19,
751,Indian Springs High,San Bernardino City Unified,San Bernardino,382.0,110.0,17.0,16.0,17.0,17.0,20,18.18,2018-19,
752,Indio High,Desert Sands Unified,Riverside,517.0,45.0,18.0,17.0,17.0,18.0,9,20.00,2018-19,
753,Ingenuity Charter,San Diego Unified,San Diego,81.0,0.0,,,,,,,2018-19,
754,Inglewood High,Inglewood Unified,Los Angeles,176.0,60.0,16.0,16.0,16.0,16.0,6,10.00,2018-19,
755,Insight @ San Diego,Spencer Valley Elementary,San Diego,116.0,0.0,,,,,,,2018-19,
756,Insight @ San Joaquin,New Jerusalem Elementary,San Joaquin,113.0,0.0,,,,,,,2018-19,
757,Insight School of California,Maricopa Unified,Kern,179.0,0.0,,,,,,,2018-19,
758,Inspire Charter,Acton-Agua Dulce Unified,Los Angeles,133.0,0.0,,,,,,,2018-19,
759,Inspire Charter School - Central,Westside Elementary,Fresno,30.0,3.0,,,,,*,*,2018-19,
760,Inspire Charter School - Kern,Maricopa Unified,Kern,78.0,0.0,,,,,,,2018-19,
761,Inspire Charter School - North,Winship-Robbins,Sutter,78.0,9.0,,,,,*,*,2018-19,
762,Inspire Charter School - South,Dehesa Elementary,San Diego,116.0,14.0,,,,,*,*,2018-19,
763,Inspire School of Arts and Sciences,Chico Unified,Butte,94.0,7.0,,,,,*,*,2018-19,
764,International Polytechnic High,Los Angeles County Office of Education,Los Angeles,131.0,54.0,26.0,25.0,23.0,23.0,44,81.48,2018-19,
765,International Studies Learning Center at Legacy High School Complex,Los Angeles Unified,Los Angeles,84.0,36.0,19.0,18.0,18.0,18.0,10,27.78,2018-19,
766,Ipakanni Early College Charter,Feather Falls Union Elementary,Butte,16.0,0.0,,,,,,,2018-19,
767,iQ Academy California-Los Angeles,Rowland Unified,Los Angeles,71.0,0.0,,,,,,,2018-19,
768,Irvine High,Irvine Unified,Orange,533.0,139.0,28.0,29.0,29.0,28.0,127,91.37,2018-19,
769,Irvington High,Fremont Unified,Alameda,497.0,111.0,30.0,31.0,30.0,29.0,103,92.79,2018-19,
770,Ivy Academia,Los Angeles Unified,Los Angeles,43.0,2.0,,,,,*,*,2018-19,
771,IvyTech Charter,Moorpark Unified,Ventura,24.0,0.0,,,,,,,2018-19,
772,J. E. Young Academic Center,Fresno Unified,Fresno,109.0,0.0,,,,,,,2018-19,
773,James A. Garfield Senior High,Los Angeles Unified,Los Angeles,581.0,269.0,18.0,17.0,19.0,17.0,56,20.82,2018-19,
774,James C. Enochs High,Modesto City High,Stanislaus,577.0,88.0,23.0,22.0,22.0,22.0,54,61.36,2018-19,
775,James Lick High,East Side Union High,Santa Clara,267.0,7.0,,,,,*,*,2018-19,
776,James Logan High,New Haven Unified,Alameda,885.0,132.0,24.0,23.0,24.0,24.0,90,68.18,2018-19,
777,James Monroe High,Los Angeles Unified,Los Angeles,510.0,51.0,20.0,19.0,20.0,19.0,18,35.29,2018-19,
778,Jefferson High,Jefferson Union High,San Mateo,260.0,19.0,19.0,20.0,19.0,19.0,9,47.37,2018-19,
779,Jesse M. Bethel High,Vallejo City Unified,Solano,380.0,44.0,20.0,18.0,18.0,19.0,13,29.55,2018-19,
780,John A. Rowland High,Rowland Unified,Los Angeles,513.0,51.0,25.0,25.0,26.0,25.0,42,82.35,2018-19,
781,John Adams Academy,Loomis Union Elementary,Placer,46.0,12.0,,,,,*,*,2018-19,
782,John C. Fremont Senior High,Los Angeles Unified,Los Angeles,402.0,11.0,,,,,*,*,2018-19,
783,John C. Kimball High,Tracy Joint Unified,San Joaquin,349.0,25.0,24.0,22.0,23.0,23.0,16,64.00,2018-19,
784,John F. Kennedy High,Sacramento City Unified,Sacramento,537.0,70.0,24.0,22.0,24.0,23.0,47,67.14,2018-19,
785,John F. Kennedy High,Corona-Norco Unified,Riverside,232.0,59.0,22.0,22.0,20.0,21.0,33,55.93,2018-19,
786,John F. Kennedy High,Fremont Unified,Alameda,310.0,38.0,26.0,25.0,25.0,24.0,29,76.32,2018-19,
787,John F. Kennedy High,West Contra Costa Unified,Contra Costa,197.0,15.0,16.0,16.0,16.0,14.0,0,0.00,2018-19,
788,John F. Kennedy High,Anaheim Union High,Orange,654.0,55.0,23.0,23.0,23.0,23.0,35,63.64,2018-19,
789,John F. Kennedy High,Los Angeles Unified,Los Angeles,463.0,32.0,21.0,20.0,21.0,20.0,14,43.75,2018-19,
790,John H. Francis Polytechnic,Los Angeles Unified,Los Angeles,675.0,44.0,23.0,22.0,24.0,23.0,26,59.09,2018-19,
791,John H. Glenn High,Norwalk-La Mirada Unified,Los Angeles,314.0,43.0,16.0,16.0,17.0,17.0,8,18.60,2018-19,
792,John H. Pitman High,Turlock Unified,Stanislaus,511.0,52.0,23.0,22.0,22.0,22.0,32,61.54,2018-19,
793,John Henry High,West Contra Costa Unified,Contra Costa,78.0,4.0,,,,,*,*,2018-19,
794,John Marshall Senior High,Los Angeles Unified,Los Angeles,552.0,77.0,23.0,22.0,22.0,22.0,49,63.64,2018-19,
795,John Muir Charter,Nevada County Office of Education,Nevada,604.0,0.0,,,,,,,2018-19,
796,John Muir High,Pasadena Unified,Los Angeles,236.0,30.0,18.0,18.0,18.0,19.0,7,23.33,2018-19,
797,John Swett High,John Swett Unified,Contra Costa,101.0,13.0,,,,,*,*,2018-19,
798,John W. North High,Riverside Unified,Riverside,501.0,118.0,20.0,19.0,20.0,20.0,45,38.14,2018-19,
799,Jordan (June) School for Equity,San Francisco Unified,San Francisco,65.0,33.0,16.0,14.0,16.0,15.0,4,12.12,2018-19,
800,Jordan High,Long Beach Unified,Los Angeles,606.0,107.0,17.0,16.0,18.0,18.0,22,20.56,2018-19,
801,Joseph A. Gregori High,Modesto City High,Stanislaus,539.0,80.0,24.0,23.0,23.0,23.0,53,66.25,2018-19,
802,Julian Charter,Julian Union Elementary,San Diego,119.0,6.0,,,,,*,*,2018-19,
803,Julian High,Julian Union High,San Diego,20.0,1.0,,,,,*,*,2018-19,
804,Junipero Serra High,Capistrano Unified,Orange,89.0,1.0,,,,,*,*,2018-19,
805,Jurupa Hills High,Fontana Unified,San Bernardino,466.0,424.0,16.0,14.0,16.0,16.0,45,10.61,2018-19,
806,Jurupa Valley High,Jurupa Unified,Riverside,383.0,98.0,18.0,17.0,19.0,19.0,27,27.55,2018-19,
807,Katella High,Anaheim Union High,Orange,651.0,18.0,20.0,18.0,18.0,20.0,7,38.89,2018-19,
808,Kearny College Connections,San Diego Unified,San Diego,100.0,8.0,,,,,*,*,2018-19,
809,Kearny Digital Media & Design,San Diego Unified,San Diego,86.0,1.0,,,,,*,*,2018-19,
810,Kearny Eng Innov & Design,San Diego Unified,San Diego,60.0,3.0,,,,,*,*,2018-19,
811,Kearny SCT,San Diego Unified,San Diego,77.0,15.0,21.0,19.0,21.0,22.0,7,46.67,2018-19,
